number;panSizeRange.min;panSizeRange.max;funding;product.id;product.name;product.image.url;product.image.width;product.image.height;product.image.mimeType;product.url;issuer.code;issuer.name;country;isInternational;regexp;isCompany;isToken;is3DS;brand.id;brand.name;brand.image.url;brand.image.width;brand.image.height;brand.image.mimeType;brand.url;allowedCaptures;usages;network.id;network.name;network.image.url;network.image.width;network.image.height;network.image.mimeType;network.url;metadata.image.url;metadata.image.width;metadata.image.height;metadata.image.mimeType;metadata.backgroundColor;metadata.foregroundColor;metadata.issuer;metadata.brand;metadata.product;services
"509711";16;16;"MULTIPLE";"82fb87a0-fa3d-45cd-8fba-25d53f1a3c1d";"Pagamento de Fornecedores";"";"";"";"";null;"";"";"BRL";false;"^509711$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"650071";16;16;"DEBIT";"83a46376-14d5-4bcd-a665-4001c4c810ef";"Basico";"";"";"";"";null;"";"";"BRL";true;"^650071$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509302";16;16;"PREPAID";"ebd0e72a-97e4-4683-84a0-8cbb1dbc2cc6";"Uso Geral";"";"";"";"";null;"";"";"BRL";false;"^509302$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509784";16;16;"CREDIT";"70ecb724-5a3e-45c4-87c8-5dc33cddc2ce";"Aereo";"";"";"";"";null;"";"";"BRL";false;"^509784$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509125";16;16;"MULTIPLE";"83a46376-14d5-4bcd-a665-4001c4c810ef";"Basico";"";"";"";"";null;"";"";"BRL";false;"^509125$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509139";16;16;"MULTIPLE";"83a46376-14d5-4bcd-a665-4001c4c810ef";"Basico";"";"";"";"";null;"";"";"BRL";false;"^509139$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509601";16;16;"MULTIPLE";"b7de459a-a8f7-4778-a5c4-c8647eb2d82c";"Corporativo Nanquim";"";"";"";"";null;"";"";"BRL";false;"^509601$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509616";16;16;"MULTIPLE";"b7de459a-a8f7-4778-a5c4-c8647eb2d82c";"Corporativo Nanquim";"";"";"";"";null;"";"";"BRL";false;"^509616$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509630";16;16;"MULTIPLE";"b7de459a-a8f7-4778-a5c4-c8647eb2d82c";"Corporativo Nanquim";"";"";"";"";null;"";"";"BRL";false;"^509630$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509480";16;16;"PREPAID";"4c08441b-bc9d-4ce7-b6b9-3f684b5fd418";"Despesas Corporativas";"";"";"";"";null;"";"";"BRL";false;"^509480$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
